Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-12-30 20:00:00,28776.45,28996.0,28534.7,28875.54,11921.265433,2020-12-30 23:59:59.999,343262091.4790339,263339,5858.24986,168727809.93049023,0
2020-12-31 00:00:00,28875.55,29300.0,28120.67,29024.0,17005.770282,2020-12-31 03:59:59.999,490410692.5823952,326757,8460.846237,244212691.73260787,0
2020-12-31 04:00:00,29024.01,29285.0,28738.1,29155.25,10242.046375,2020-12-31 07:59:59.999,297351366.7329186,223467,5235.382745,152035531.60473213,0
2020-12-31 08:00:00,29155.24,29210.83,28580.0,28910.3,10508.48293,2020-12-31 11:59:59.999,304439278.60080695,236964,5045.271064,146231915.4608929,0
2020-12-31 12:00:00,28910.29,28989.03,27850.0,28770.0,19597.147389,2020-12-31 15:59:59.999,558014647.6712307,357286,8755.564995,249293421.33525255,0
2020-12-31 16:00:00,28782.01,29000.0,28311.0,28897.83,10279.179141,2020-12-31 19:59:59.999,294879212.3894579,232343,5242.95856,150507955.41384083,0
2020-12-31 20:00:00,28897.84,29169.55,28780.0,28923.63,7875.879035,2020-12-31 23:59:59.999,228504927.44326457,175976,3691.598479,107107628.00888008,0
2021-01-01 00:00:00,28923.63,29470.0,28690.17,29278.4,11560.456553,2021-01-01 03:59:59.999,337730077.5570941,262441,6354.750111,185675832.60984153,0
2021-01-01 04:00:00,29278.41,29395.0,28806.54,29092.83,7308.910274,2021-01-01 07:59:59.999,212959808.12097633,196772,3437.053243,100170352.33508396,0
2021-01-01 08:00:00,29092.84,29402.57,28872.24,29313.49,8283.705319,2021-01-01 11:59:59.999,241843536.24794328,195352,4554.094883,132989690.4973169,0
2021-01-01 12:00:00,29313.49,29600.0,29030.14,29188.67,11794.949515,2021-01-01 15:59:59.999,346262815.4359047,269572,5950.099715,174770117.20762047,0
2021-01-01 16:00:00,29188.67,29360.0,28624.57,29029.04,9850.965345,2021-01-01 19:59:59.999,286439126.2365756,237490,4347.017575,126457429.93102376,0
2021-01-01 20:00:00,29029.04,29338.89,28880.37,29331.69,5383.938005,2021-01-01 23:59:59.999,157291625.56337875,153283,2812.786198,82184321.96421748,0
2021-01-02 00:00:00,29331.7,29469.0,28946.53,29351.95,7393.028526,2021-01-02 03:59:59.999,216316507.267056,166125,3690.672938,108013435.66927,0
2021-01-02 04:00:00,29351.95,29820.5,29220.0,29750.0,9865.642845,2021-01-02 07:59:59.999,291957821.46943516,202762,6322.783094,187156091.77645305,0
2021-01-02 08:00:00,29751.47,29899.0,29473.91,29755.0,9226.804608,2021-01-02 11:59:59.999,274369857.0248629,197876,4393.189362,130664922.088974,0
2021-01-02 12:00:00,29754.99,31800.0,29741.39,31691.29,34028.973399,2021-01-02 15:59:59.999,1050932902.1150658,568973,18735.443501,577688213.6588075,0
2021-01-02 16:00:00,31691.09,33300.0,31616.42,33027.2,34849.617798,2021-01-02 19:59:59.999,1137521994.5657008,558167,17910.376313,584851099.4984124,0
2021-01-02 20:00:00,33027.2,33061.37,30300.0,32178.33,34629.806186,2021-01-02 23:59:59.999,1102743081.2294204,552019,16393.840038,521960961.1952289,0
2021-01-03 00:00:00,32176.45,32884.09,31962.99,32573.87,10890.302907,2021-01-03 03:59:59.999,354166675.80315745,228605,5439.988071,176900512.45244795,0
2021-01-03 04:00:00,32576.11,34778.11,32450.0,34452.34,26286.126296,2021-01-03 07:59:59.999,890390017.737399,468152,13754.822482,465470008.52080655,0
2021-01-03 08:00:00,34451.78,34670.41,33403.0,34413.53,22651.532867,2021-01-03 11:59:59.999,772577341.6201434,438165,10987.166837,374834425.48906136,0
2021-01-03 12:00:00,34413.53,34600.0,32727.0,33506.62,23240.077177,2021-01-03 15:59:59.999,785083115.4879142,430705,11010.248268,372146448.65953416,0
2021-01-03 16:00:00,33505.15,33822.69,32267.0,32772.21,22427.187643,2021-01-03 19:59:59.999,739419782.9814188,432712,10953.33222,361219054.1825026,0
